Area_Sqft,Soil_pH,No_of_Owners,District,Land_Type,Flood_Risk,Water_Availability,Soil_Type,Document_Issue,Owner_Objection,Court_Case,Compensation_Status,FMB,A_Register,Document_Verified,Objection,Ownership_Type,Acquisition_Days,Delay_Status,Land_ID,Taluk,Village,Survey_No,Delay_Risk_Band,latitude,longitude
408734.33,7.6,16,Tiruchirappalli,Barren,No,No,Alluvial,Not Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,44.0,No Delay,ACQ_SYN_017266,Tiruchirappalli,Sholinganallur 12,3/11,Low,10.798739701438564,78.7137249198048
890103.82,7.0,8,Dharmapuri,Forest,No,Yes,Urban Fill,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,223.0,Delayed,ACQ_SYN_006649,Dharmapuri,Ayappan Pattinam 3,270/1057,High,12.159893299744812,78.12741811169026
2244337.6,7.3,16,Chengalpattu,Agricultural,No,No,Urban Fill,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,218.0,Delayed,ACQ_SYN_012282,Chengalpattu,Samayapuram 9,95/364,High,12.71350483892075,79.95815173322931
2371394.87,6.6,5,Dharmapuri,Industrial,No,No,Urban Fill,Not Available,No,No,Objection enquiry,Yes,Yes,Yes,No,Joint,0.0,No Delay,ACQ_SYN_015277,Dharmapuri,Thogamalai 4,271/1062,Low,12.147881810729627,78.17868049839257
503985.59,6.3,18,Chennai,Industrial,Yes,Yes,Sandy,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,154.0,Delayed,ACQ_SYN_012021,Chennai,Siruseri 6,191/742,High,13.104711941093232,80.22266529179446
1443030.06,6.9,15,Chengalpattu,Barren,No,No,Red Soil,Not Available,Yes,No,Verification completed,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_002674,Chengalpattu,Oragadam 16,94/361,Low,12.636780983687451,79.94778048754588
1524913.33,8.5,19,Salem,Forest,No,No,Saline,Not Available,Yes,No,Verification completed,Yes,Yes,No,Yes,Joint,151.0,Delayed,ACQ_SYN_017440,Salem,Manapakkam 17,18/77,High,11.670758722175096,78.08379047370556
1168290.59,6.1,10,Chengalpattu,Forest,No,Yes,Sandy,Available,No,No,Verification pending,Yes,Yes,Yes,No,Joint,0.0,No Delay,ACQ_SYN_017193,Chengalpattu,Nandambakkam 13,477/1887,Low,12.683061187772472,79.96443833812009
1077223.45,7.0,10,Tiruvallur,Industrial,Yes,Yes,Urban Fill,Available,No,No,Verification pending,Yes,Yes,Yes,No,Joint,316.0,Delayed,ACQ_SYN_001049,Tiruvallur,Samayapuram 8,327/1283,High,13.159999422885171,79.93051621381912
2016544.69,6.7,13,Salem,Residential,No,No,Loamy,Not Available,Yes,Yes,Withheld pending court,Yes,Yes,No,Yes,Joint,85.0,Delayed,ACQ_SYN_019046,Salem,Ayappan Pattinam 2,15/61,Medium,11.63601407324517,78.11567724663732
1090556.56,6.7,14,Tiruvallur,Barren,No,No,Red Soil,Not Available,Yes,No,To be paid,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_011958,Tiruvallur,Samayapuram 16,79/308,Low,13.094445212264135,79.96073137790157
1861862.85,6.6,7,Tiruchirappalli,Industrial,No,Yes,Loamy,Not Available,Yes,No,Verification pending,Yes,Yes,No,Yes,Joint,172.0,Delayed,ACQ_SYN_008271,Tiruchirappalli,Perungalathur 16,169/660,High,10.730993258834264,78.7236855605495
1611996.32,7.0,7,Villupuram,Barren,No,No,Red Soil,Available,Yes,Yes,Objection enquiry,Yes,Yes,Yes,Yes,Joint,501.0,Delayed,ACQ_SYN_003571,Villupuram,Sholinganallur 6,389/1535,High,11.96304816099963,79.49439540112489
2605042.52,7.2,15,Erode,Commercial,No,Yes,Urban Fill,Not Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,Joint,393.0,Delayed,ACQ_SYN_007105,Erode,Padur 19,140/541,High,11.387248925319826,77.75421226230395
2561958.32,8.7,16,Tiruchirappalli,Agricultural,Yes,Yes,Saline,Not Available,Yes,Yes,Withheld pending court,No,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_018267,Tiruchirappalli,Sriperumbudur 19,59/233,Low,10.788051138071744,78.66399280801295
406656.05,8.7,10,Krishnagiri,Coastal,Yes,No,Saline,Available,Yes,Yes,Withheld pending court,Yes,Yes,Yes,Yes,Joint,183.0,Delayed,ACQ_SYN_007140,Krishnagiri,Nandambakkam 13,152/589,High,12.55940595781396,78.19897582744522
1348962.57,7.7,13,Tiruvallur,Commercial,No,No,Alluvial,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,206.0,Delayed,ACQ_SYN_018553,Tiruvallur,Siruseri 17,328/1287,High,13.175999110119106,79.91299962519864
2042344.39,6.4,16,Chengalpattu,Residential,Yes,Yes,Loamy,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,218.0,Delayed,ACQ_SYN_011307,Chengalpattu,Nandambakkam 12,95/363,High,12.713124300460551,80.0547606637501
1613021.35,8.1,15,Chennai,Coastal,Yes,No,Saline,Available,Yes,No,Verification pending,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_005731,Chennai,Karanai 10,405/1603,Low,13.11083970261167,80.26169712954206
351129.44,6.7,8,Ranipet,Forest,Yes,Yes,Sandy,Available,Yes,No,To be paid,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_019859,Ranipet,Siruseri 8,226/889,Low,12.956571093311275,79.32662738015149
2613096.36,6.8,20,Tiruchirappalli,Barren,No,Yes,Red Soil,Available,Yes,Yes,Verification pending,Yes,Yes,Yes,Yes,Joint,130.0,Delayed,ACQ_SYN_003370,Tiruchirappalli,Nandambakkam 3,58/227,High,10.83604041037932,78.684284873702
1253925.75,6.5,18,Tiruchirappalli,Coastal,Yes,Yes,Sandy,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,Joint,80.0,Delayed,ACQ_SYN_003251,Tiruchirappalli,Madhavaram 8,167/650,Medium,10.81785989470151,78.71034915293136
1016152.89,8.9,12,Ranipet,Forest,No,No,Saline,Not Available,Yes,No,Verification pending,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_004159,Ranipet,Thogamalai 6,101/384,Low,12.89096879382872,79.37291438942256
2186091.98,7.2,20,Tiruchirappalli,Industrial,No,Yes,Urban Fill,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_008604,Tiruchirappalli,Oragadam 11,351/1370,Low,10.804874403151445,78.690213669558
406353.89,6.7,19,Salem,Coastal,Yes,Yes,Loamy,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,Joint,153.0,Delayed,ACQ_SYN_013519,Salem,Kelambakkam 5,434/1723,High,11.640714196140394,78.173091990951
1144454.0,6.8,8,Coimbatore,Barren,Yes,Yes,Alluvial,Not Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,31.0,No Delay,ACQ_SYN_017192,Coimbatore,Pudur 9,377/1484,Low,11.0420377538655,77.01400140578413
347626.87,6.6,19,Chennai,Commercial,Yes,Yes,Loamy,Available,Yes,Yes,Withheld pending court,Yes,Yes,Yes,Yes,Joint,213.0,Delayed,ACQ_SYN_014035,Chennai,Kelambakkam 4,257/1010,High,13.115969297459342,80.23427187354594
2016653.82,6.4,10,Vellore,Commercial,No,No,Sandy,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,Joint,136.0,Delayed,ACQ_SYN_007968,Vellore,Pudur 8,118/450,High,12.906341907903588,79.09416591928401
2626752.77,7.5,14,Tiruvallur,Agricultural,No,No,Alluvial,Available,Yes,No,Verification pending,Yes,Yes,Yes,Yes,Joint,139.0,Delayed,ACQ_SYN_010526,Tiruvallur,Manapakkam 14,76/298,High,13.1096642471237,79.96470391406679
1206174.18,6.5,7,Tirunelveli,Barren,No,No,Loamy,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,56.0,No Delay,ACQ_SYN_019602,Tirunelveli,Samayapuram 4,22/94,Low,8.67270090512823,77.7485824977223
1871786.37,7.4,12,Karur,Forest,Yes,Yes,Urban Fill,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,Joint,364.0,Delayed,ACQ_SYN_004277,Karur,Pammalur 7,30/131,High,10.987334724343736,78.10781178618129
1413217.06,8.9,17,Coimbatore,Forest,No,No,Saline,Not Available,Yes,Yes,Objection enquiry,No,Yes,No,Yes,Joint,157.0,Delayed,ACQ_SYN_001109,Coimbatore,Sholinganallur 8,456/1806,High,11.026310813801592,76.94415356982977
1010739.72,6.9,20,Erode,Coastal,Yes,Yes,Red Soil,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,231.0,Delayed,ACQ_SYN_009809,Erode,Nandambakkam 1,71/274,High,11.361256290592966,77.7466933404229
1598594.7,7.2,6,Namakkal,Barren,Yes,Yes,Urban Fill,Not Available,Yes,No,Verification completed,Yes,Yes,No,Yes,Joint,16.0,No Delay,ACQ_SYN_005823,Namakkal,Manapakkam 16,423/1674,Low,11.23329645751896,78.15234433381073
1810230.89,6.1,5,Namakkal,Agricultural,No,Yes,Sandy,Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_006810,Namakkal,Thogamalai 4,425/1685,Low,11.183256858117916,78.22623227228958
1051306.88,8.6,12,Ranipet,Forest,No,No,Saline,Not Available,Yes,No,Verification pending,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_005717,Ranipet,Thogamalai 6,101/384,Low,12.897248540961415,79.37708803347365
1775299.36,8.5,9,Salem,Commercial,No,Yes,Black Cotton,Not Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,Joint,84.0,Delayed,ACQ_SYN_016190,Salem,Padur 14,20/86,Medium,11.627947741490368,78.13899730426819
1881389.57,7.8,6,Erode,Commercial,No,No,Black Cotton,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,Yes,Yes,Joint,555.0,Delayed,ACQ_SYN_006430,Erode,Pammalur 15,72/282,High,11.337198501822106,77.77188397356441
636282.01,6.8,16,Chengalpattu,Commercial,No,Yes,Red Soil,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,Joint,449.0,Delayed,ACQ_SYN_011265,Chengalpattu,Pammalur 13,471/1868,High,12.721944898494502,79.9343924015323
1034988.64,6.9,7,Salem,Residential,Yes,Yes,Red Soil,Not Available,No,No,Withheld pending court,Yes,Yes,No,No,Joint,432.0,Delayed,ACQ_SYN_016173,Salem,Padur 17,431/1711,High,11.680629510322555,78.16463524825566
1859295.4,6.8,15,Chennai,Agricultural,Yes,Yes,Red Soil,Not Available,Yes,No,Verification pending,Yes,Yes,No,Yes,Joint,115.0,Delayed,ACQ_SYN_016928,Chennai,Perungalathur 11,408/1620,Medium,13.10645280954595,80.2627326985578
2240265.36,8.7,15,Thoothukudi,Forest,No,Yes,Saline,Not Available,Yes,No,To be paid,Yes,Yes,No,Yes,Joint,172.0,Delayed,ACQ_SYN_017603,Thoothukudi,Nandambakkam 12,462/1825,High,8.796432084031139,78.07131680746889
479046.13,6.8,19,Villupuram,Barren,No,Yes,Red Soil,Available,No,No,Verification pending,Yes,Yes,Yes,No,Joint,228.0,Delayed,ACQ_SYN_019276,Villupuram,Padur 10,393/1552,High,11.898650251618797,79.53606457519236
1538371.4,6.6,9,Vellore,Barren,No,No,Red Soil,Not Available,Yes,No,Withheld pending court,Yes,Yes,Yes,Yes,Joint,282.0,Delayed,ACQ_SYN_001584,Vellore,Perungalathur 7,203/795,High,12.931178503347688,79.09986610748312
1006435.9,5.9,16,Karur,Coastal,Yes,No,Sandy,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,90.0,Delayed,ACQ_SYN_002251,Karur,Samayapuram 17,248/972,Medium,10.997420383605323,78.10008607180693
1949028.56,6.5,19,Tirunelveli,Residential,Yes,Yes,Loamy,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,167.0,Delayed,ACQ_SYN_011108,Tirunelveli,Ayappan Pattinam 1,87/338,High,8.715364061363994,77.78252129703819
829091.6,7.1,5,Namakkal,Residential,No,Yes,Urban Fill,Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_002001,Namakkal,Padur 9,425/1686,Low,11.168758923361626,78.1521941269218
1136662.28,9.0,6,Thoothukudi,Commercial,No,No,Saline,Not Available,No,No,Verification pending,No,Yes,No,No,Joint,0.0,No Delay,ACQ_SYN_011015,Thoothukudi,Padur 9,233/915,Low,8.724861293909962,78.05255150435806
1369156.1,7.6,5,Tiruchirappalli,Agricultural,No,No,Black Cotton,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_019173,Tiruchirappalli,Samayapuram 10,7/25,Low,10.793876295846848,78.74637408582007
372255.5,6.8,6,Salem,Forest,No,No,Loamy,Not Available,Yes,No,Verification pending,No,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_007432,Salem,Siruseri 8,404/1598,Low,11.670935644098408,78.12245009008551
2418792.51,7.6,6,Erode,Residential,No,Yes,Black Cotton,Not Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,101.0,Delayed,ACQ_SYN_016006,Erode,Kelambakkam 1,138/534,Medium,11.32477484005817,77.68034354253538
1744497.85,6.5,10,Coimbatore,Commercial,Yes,Yes,Loamy,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,Joint,22.0,No Delay,ACQ_SYN_001204,Coimbatore,Madhavaram 20,372/1462,Low,10.993367376924684,77.01609571492041
949232.52,7.7,12,Dharmapuri,Agricultural,No,Yes,Black Cotton,Not Available,No,No,To be paid,No,Yes,No,No,Joint,0.0,No Delay,ACQ_SYN_001565,Dharmapuri,Karanai 2,273/1069,Low,12.102312109816332,78.13439201973297
1692059.92,7.9,15,Thoothukudi,Forest,Yes,Yes,Black Cotton,Not Available,Yes,No,Verification completed,Yes,Yes,No,Yes,Joint,43.0,No Delay,ACQ_SYN_006144,Thoothukudi,Oragadam 10,467/1850,Low,8.81750822109733,78.11062574164286
1899880.74,6.5,7,Tiruchirappalli,Industrial,No,Yes,Loamy,Not Available,Yes,No,Verification pending,Yes,Yes,No,Yes,Joint,172.0,Delayed,ACQ_SYN_001647,Tiruchirappalli,Perungalathur 16,169/660,High,10.73182990222399,78.78459587434993
1874052.77,7.8,8,Karur,Industrial,No,No,Alluvial,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,105.0,Delayed,ACQ_SYN_017708,Karur,Manapakkam 3,291/1147,Medium,10.973869360750856,78.10364383057843
2323296.69,8.7,14,Erode,Commercial,No,Yes,Saline,Not Available,Yes,Yes,Verification pending,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_011505,Erode,Neelambur 10,144/561,Low,11.276279041603743,77.68734418321726
2719339.02,6.0,18,Tiruchirappalli,Industrial,No,Yes,Sandy,Not Available,No,No,Verification pending,Yes,Yes,No,No,Joint,0.0,No Delay,ACQ_SYN_012818,Tiruchirappalli,Siruseri 3,317/1246,Low,10.770115717245364,78.68856521473627
659252.36,8.7,10,Namakkal,Agricultural,No,No,Saline,Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_000338,Namakkal,Samayapuram 4,156/609,Low,11.170393768931044,78.21665949373987
2063467.44,7.1,13,Kancheepuram,Agricultural,No,Yes,Red Soil,Available,No,No,Verification completed,Yes,Yes,Yes,No,Joint,176.0,Delayed,ACQ_SYN_015379,Kancheepuram,Madhavaram 11,199/780,High,12.875308139690796,79.72083771101029
538827.18,8.4,11,Coimbatore,Residential,No,Yes,Saline,Available,Yes,No,To be paid,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_003247,Coimbatore,Karanai 9,375/1474,Low,11.061900764512394,76.98589974427897
1747774.77,7.1,16,Salem,Forest,No,No,Alluvial,Not Available,Yes,No,Withheld pending court,Yes,Yes,No,Yes,Joint,158.0,Delayed,ACQ_SYN_013954,Salem,Neelambur 2,399/1575,High,11.69784820251074,78.13070083131177
800260.19,7.0,5,Erode,Forest,Yes,Yes,Red Soil,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,Joint,196.0,Delayed,ACQ_SYN_009253,Erode,Pammalur 3,137/533,High,11.35953775028282,77.69312568601569
1775785.26,6.3,20,Thanjavur,Residential,Yes,Yes,Sandy,Available,Yes,Yes,Verification pending,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_000857,Thanjavur,Madhavaram 3,121/470,Low,10.839208221625697,79.08945493401261
2032000.31,6.1,19,Thanjavur,Forest,No,No,Sandy,Not Available,Yes,Yes,Withheld pending court,Yes,Yes,No,Yes,Joint,160.0,Delayed,ACQ_SYN_012646,Thanjavur,Madhavaram 9,418/1661,High,10.807542404930883,79.13253042385415
890625.89,7.8,11,Tirunelveli,Forest,No,No,Black Cotton,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,282.0,Delayed,ACQ_SYN_013512,Tirunelveli,Kallikudi 13,37/157,High,8.681829058973348,77.69580301751348
587109.41,7.2,11,Tirunelveli,Industrial,No,Yes,Urban Fill,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,140.0,Delayed,ACQ_SYN_003871,Tirunelveli,Oragadam 5,21/88,High,8.754096698691837,77.79488247054043
1574517.15,7.6,8,Thanjavur,Coastal,Yes,Yes,Urban Fill,Not Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,63.0,Delayed,ACQ_SYN_011420,Thanjavur,Neelambur 17,300/1183,Medium,10.816105282932698,79.09342894805737
1236023.43,6.9,7,Villupuram,Coastal,Yes,Yes,Red Soil,Not Available,Yes,Yes,Withheld pending court,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_002561,Villupuram,Karanai 16,282/1109,Low,11.901556495181357,79.48488495331344
2216006.66,6.3,14,Cuddalore,Agricultural,Yes,Yes,Loamy,Not Available,Yes,Yes,Verification pending,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_001313,Cuddalore,Samayapuram 8,380/1497,Low,11.770344323692196,79.6278437123009
937933.87,8.6,20,Namakkal,Commercial,No,No,Saline,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,210.0,Delayed,ACQ_SYN_017321,Namakkal,Sholinganallur 2,157/612,High,11.20477868644535,78.17210791235902
2154514.97,8.0,15,Coimbatore,Agricultural,No,Yes,Saline,Available,Yes,Yes,Verification pending,Yes,Yes,Yes,Yes,Joint,197.0,Delayed,ACQ_SYN_002914,Coimbatore,Kelambakkam 2,114/434,High,11.051807127795918,76.96641748216855
2121083.56,7.2,5,Erode,Residential,Yes,Yes,Alluvial,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,Joint,196.0,Delayed,ACQ_SYN_010300,Erode,Ayappan Pattinam 14,137/532,High,11.310381057169804,77.67266715891921
1463073.88,6.5,19,Tirunelveli,Agricultural,No,Yes,Loamy,Not Available,Yes,No,Objection enquiry,Yes,Yes,No,Yes,Joint,322.0,Delayed,ACQ_SYN_011197,Tirunelveli,Nandambakkam 11,89/346,High,8.661067470424694,77.76695253182059
1099403.75,6.4,12,Salem,Industrial,No,Yes,Loamy,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,75.0,Delayed,ACQ_SYN_004715,Salem,Padur 9,14/54,Medium,11.708785125843132,78.1737628840687
554437.3,6.4,11,Krishnagiri,Industrial,No,Yes,Loamy,Not Available,Yes,Yes,Verification completed,Yes,Yes,No,Yes,Joint,224.0,Delayed,ACQ_SYN_008495,Krishnagiri,Samayapuram 19,153/598,High,12.501238300944266,78.24959454728858
680697.74,8.4,15,Tiruchirappalli,Coastal,Yes,No,Saline,Available,Yes,No,Withheld pending court,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_015685,Tiruchirappalli,Manapakkam 6,352/1374,Low,10.82492438952042,78.71412557039906
1164020.62,6.7,8,Erode,Agricultural,No,No,Red Soil,Not Available,Yes,No,Verification pending,Yes,Yes,No,Yes,Joint,74.0,Delayed,ACQ_SYN_011398,Erode,Pammalur 19,413/1639,Medium,11.38377328196179,77.70147182562837
1106829.21,6.5,7,Namakkal,Coastal,Yes,No,Loamy,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,41.0,No Delay,ACQ_SYN_002151,Namakkal,Kelambakkam 14,161/630,Low,11.196521449226138,78.23496402564105
443762.54,6.8,17,Salem,Forest,Yes,Yes,Red Soil,Not Available,Yes,No,Verification completed,Yes,Yes,No,Yes,Joint,85.0,Delayed,ACQ_SYN_008681,Salem,Perungalathur 17,433/1718,Medium,11.651459363338736,78.13717641069037
2056324.78,7.3,10,Namakkal,Coastal,Yes,No,Red Soil,Not Available,Yes,Yes,Verification pending,Yes,Yes,No,Yes,Joint,57.0,No Delay,ACQ_SYN_006772,Namakkal,Kallikudi 4,337/1315,Low,11.16689917153911,78.21770383936193
1120765.76,7.7,11,Karur,Coastal,Yes,No,Black Cotton,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,24.0,No Delay,ACQ_SYN_013593,Karur,Kelambakkam 16,249/975,Low,10.957845393607531,78.06884301510102
749371.66,7.3,18,Tiruchirappalli,Forest,Yes,Yes,Urban Fill,Not Available,No,No,Verification pending,Yes,Yes,No,No,Joint,0.0,No Delay,ACQ_SYN_018867,Tiruchirappalli,Sriperumbudur 11,317/1243,Low,10.766164278903249,78.66634134767959
767661.16,7.9,6,Namakkal,Agricultural,No,Yes,Black Cotton,Available,No,No,To be paid,Yes,Yes,Yes,No,Joint,184.0,Delayed,ACQ_SYN_017248,Namakkal,Sriperumbudur 20,335/1305,High,11.221016212092795,78.12238478874487
622731.98,6.9,9,Vellore,Agricultural,Yes,Yes,Red Soil,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,Joint,81.0,Delayed,ACQ_SYN_010495,Vellore,Pammalur 10,204/801,Medium,12.92350376790364,79.12001221571961
2590099.34,7.3,8,Namakkal,Residential,No,No,Alluvial,Not Available,No,No,Objection enquiry,Yes,Yes,No,No,Joint,502.0,Delayed,ACQ_SYN_011112,Namakkal,Ayappan Pattinam 4,426/1687,High,11.194145355372097,78.16447538776768
1194158.5,6.4,9,Karur,Coastal,Yes,Yes,Loamy,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,118.0,Delayed,ACQ_SYN_006838,Karur,Oragadam 10,25/110,Medium,10.977719966381596,78.14461067792536
454560.71,7.8,11,Tirunelveli,Forest,No,Yes,Alluvial,Not Available,Yes,No,Verification completed,Yes,Yes,No,Yes,Joint,35.0,No Delay,ACQ_SYN_008180,Tirunelveli,Ayappan Pattinam 14,88/342,Low,8.67374577238352,77.70831266546601
1442672.68,6.4,18,Salem,Agricultural,No,Yes,Sandy,Not Available,Yes,Yes,To be paid,Yes,Yes,Yes,Yes,Joint,581.0,Delayed,ACQ_SYN_014884,Salem,Madhavaram 13,398/1572,High,11.65702241993677,78.14567688769962
695333.83,7.1,6,Thoothukudi,Industrial,No,No,Red Soil,Not Available,No,No,Verification pending,No,Yes,No,No,Joint,0.0,No Delay,ACQ_SYN_008486,Thoothukudi,Kallikudi 8,233/914,Low,8.741825295671738,78.00983784221108
354726.88,7.3,14,Tiruvallur,Agricultural,Yes,Yes,Urban Fill,Available,Yes,No,Verification pending,Yes,Yes,Yes,Yes,Joint,139.0,Delayed,ACQ_SYN_009872,Tiruvallur,Neelambur 4,76/296,High,13.133352051228613,79.9539465536219
685306.02,7.1,10,Vellore,Commercial,No,Yes,Urban Fill,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,Joint,136.0,Delayed,ACQ_SYN_017573,Vellore,Kelambakkam 4,118/452,High,12.879914314105976,79.05112862840231
2047931.75,8.1,12,Thanjavur,Barren,No,Yes,Black Cotton,Not Available,Yes,Yes,To be paid,Yes,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_000758,Thanjavur,Pudur 17,189/736,Low,10.72808139744186,79.06447908661059
615500.24,9.1,20,Karur,Coastal,Yes,Yes,Saline,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,35.0,No Delay,ACQ_SYN_002525,Karur,Oragadam 3,28/120,Low,10.969186725300702,78.12084706217209
792507.06,7.4,14,Vellore,Forest,Yes,Yes,Black Cotton,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,188.0,Delayed,ACQ_SYN_018641,Vellore,Pammalur 17,62/244,High,12.877124663469,79.10054906469367
694194.32,7.1,17,Tiruchirappalli,Commercial,Yes,Yes,Urban Fill,Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,280.0,Delayed,ACQ_SYN_005867,Tiruchirappalli,Nandambakkam 16,353/1378,High,10.84431674121474,78.74763860258739
2518111.49,7.2,13,Ranipet,Coastal,Yes,Yes,Alluvial,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,Joint,280.0,Delayed,ACQ_SYN_014838,Ranipet,Karanai 14,225/886,High,12.959177854627594,79.29669887541186
1910042.5,6.2,20,Coimbatore,Forest,No,No,Loamy,Not Available,Yes,Yes,Withheld pending court,Yes,Yes,No,Yes,Joint,408.0,Delayed,ACQ_SYN_000320,Coimbatore,Pammalur 19,376/1476,High,10.992286214258836,76.92282912006883
1726090.19,7.7,8,Tirunelveli,Coastal,Yes,Yes,Alluvial,Available,Yes,No,Verification completed,Yes,Yes,Yes,Yes,Joint,0.0,No Delay,ACQ_SYN_019150,Tirunelveli,Ayappan Pattinam 9,23/101,Low,8.648329767188933,77.73186837946903
1857932.52,7.2,10,Coimbatore,Barren,No,Yes,Urban Fill,Not Available,Yes,Yes,Objection enquiry,Yes,Yes,No,Yes,Joint,374.0,Delayed,ACQ_SYN_013465,Coimbatore,Kelambakkam 20,371/1460,High,11.060823302311334,76.92179531391525
2725033.48,7.7,20,Dharmapuri,Commercial,No,Yes,Black Cotton,Not Available,Yes,Yes,Verification completed,No,Yes,No,Yes,Joint,172.0,Delayed,ACQ_SYN_018485,Dharmapuri,Thogamalai 19,274/1077,High,12.11458819514421,78.16527613595716
1662485.88,6.6,8,Chengalpattu,Residential,No,No,Loamy,Available,No,No,To be paid,Yes,Yes,Yes,No,Joint,0.0,No Delay,ACQ_SYN_016798,Chengalpattu,Padur 20,476/1886,Low,12.650020293718756,79.92940460883635
1020306.71,7.0,7,Salem,Residential,Yes,Yes,Red Soil,Not Available,No,No,Withheld pending court,Yes,Yes,No,No,Joint,432.0,Delayed,ACQ_SYN_019840,Salem,Padur 17,431/1711,High,11.679099854762423,78.2056643103884
1378921.03,8.4,14,Tiruchirappalli,Residential,No,Yes,Saline,Not Available,Yes,Yes,Verification completed,Yes,Yes,Yes,Yes,Joint,90.0,Delayed,ACQ_SYN_009871,Tiruchirappalli,Pudur 5,316/1240,Medium,10.800937416376984,78.6640935756116
1000537.71,6.9,16,Tiruchirappalli,Forest,No,Yes,Red Soil,Not Available,Yes,Yes,Withheld pending court,No,Yes,No,Yes,Joint,0.0,No Delay,ACQ_SYN_018967,Tiruchirappalli,Kallikudi 6,59/235,Low,10.753661786953518,78.71586475244654
687760.55,6.5,20,Villupuram,Residential,Yes,Yes,Red Soil,Available,Yes,Yes,Verification pending,Yes,Yes,Yes,Yes,Joint,285.0,Delayed,ACQ_SYN_012594,Villupuram,Samayapuram 10,391/1544,High,11.945012210637785,79.47626330353722
