Area (sq.ft),Soil pH,No. of Owners,No. of Objections,Valuation Gap (%),Land Use,Ownership,Flood Risk,Water Availability,Soil Type,Title Dispute,Court Case,Document Status,Acquisition Notice,Compensation Status,Road Access,Delay Days,Land ID,District,Taluk,Village
27835.190913401624,6.200553548370824,4,4,31.916885565912352,Agricultural,Individual,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,355.7741216461305,REC0084,Kancheepuram,Sriperumbudur,Magadevimangalam
3644.7347667728245,7.723094158716125,4,6,9.800952966585376,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,149.1970468213483,REC0085,Kancheepuram,Sriperumbudur,Magadevimangalam
24365.59764793719,8.199921111785477,5,2,18.56954105728777,Agricultural,Individual,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,251.44178426482006,REC0086,Kancheepuram,Sriperumbudur,Magadevimangalam
23863.98372109567,5.864784766103118,3,1,4.534042066756191,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,85.6497256397069,REC0087,Kancheepuram,Sriperumbudur,Magadevimangalam
11399.116707880545,7.811372665097512,5,3,12.964608818248374,Agricultural,Individual,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,80.56891260973373,REC0088,Kancheepuram,Sriperumbudur,Magadevimangalam
13535.551473112911,5.598222454834795,4,2,8.29030886928798,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,68.8388792681366,REC0089,Kancheepuram,Sriperumbudur,Magadevimangalam
23189.546885302236,6.966923922787583,2,7,1.457600890866041,Agricultural,Individual,Low,Medium,Sandy Loam,No,No,Partial,Issued,Paid,Poor,167.8529986625334,REC0090,Kancheepuram,Sriperumbudur,Magadevimangalam
2874.3841594399937,7.5661552809823736,3,1,12.74231405407116,Agricultural,Individual,High,Low,Sandy Loam,Yes,No,Complete,Issued,Negotiation,Good,328.84004601044984,REC0091,Kancheepuram,Sriperumbudur,Magadevimangalam
15008.830870671525,6.799675570894029,6,6,34.83265703618615,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,230.98558520693146,REC0092,Kancheepuram,Sriperumbudur,Magadevimangalam
20469.104966926865,7.180664137639545,5,0,1.321963159406769,Agricultural,Individual,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,37.08542569608477,REC0093,Kancheepuram,Sriperumbudur,Magadevimangalam
31640.96231097884,7.309158668944173,2,5,0.0,Agricultural,Individual,Low,Medium,Sandy Loam,No,No,Partial,Issued,Paid,Poor,103.4216734915375,REC0094,Kancheepuram,Sriperumbudur,Magadevimangalam
26341.851697708527,7.326124503674221,5,5,30.202138569752552,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,295.95134184690835,REC0095,Kancheepuram,Sriperumbudur,Magadevimangalam
17537.88744072794,5.61080299119071,5,2,13.569496740894758,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,52.82781409032607,REC0096,Tiruvallur,Uthukottai,Melmaligaipattu
17485.130596220042,5.993488315330772,4,0,14.144684738119958,Agricultural,Joint,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,89.921604143085,REC0097,Tiruvallur,Uthukottai,Melmaligaipattu
22661.20113089756,8.200735300896069,5,5,40.019106960332785,Agricultural,Individual,Medium,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Poor,141.26708805527795,REC0098,Tiruvallur,Uthukottai,Melmaligaipattu
30631.03811432013,6.977468646996809,4,1,1.1911476127791438,Agricultural,Individual,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,25.065235731494145,REC0099,Tiruvallur,Uthukottai,Melmaligaipattu
28653.850502172692,6.335700185192942,4,0,9.187354513255608,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,86.48831171336282,REC0100,Tiruvallur,Uthukottai,Melmaligaipattu
26058.358065586886,6.66403026746875,5,0,0.0,Agricultural,Individual,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,33.55914982889934,REC0101,Tiruvallur,Uthukottai,Melmaligaipattu
24427.19573058887,6.123986729315596,3,7,26.016941203099716,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,201.47234178014526,REC0102,Tiruvallur,Uthukottai,Melmaligaipattu
20110.040970245664,6.31551138129683,4,0,7.482090004043298,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,105.37520998119703,REC0103,Tiruvallur,Uthukottai,Melmaligaipattu
3720.4464623306085,7.007875034499627,3,5,3.8386866471108156,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,152.83590667298057,REC0104,Tiruvallur,Uthukottai,Melmaligaipattu
14243.500951279475,7.833360806030724,5,2,16.671475642488573,Agricultural,Individual,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,79.80895147219456,REC0105,Tiruvallur,Uthukottai,Melmaligaipattu
10951.87097258799,8.37005536920599,4,2,14.201758462889915,Agricultural,Individual,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,92.97924435757879,REC0106,Tiruvallur,Uthukottai,Melmaligaipattu
2472.1565614259803,7.3655618221754855,3,2,18.310179060371905,Agricultural,Individual,High,Low,Sandy Loam,Yes,No,Complete,Issued,Negotiation,Good,370.20062620838075,REC0107,Tiruvallur,Uthukottai,Melmaligaipattu
16801.198215312375,5.263553254422663,5,2,20.239749925297158,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,74.03901042626589,REC0108,Tiruvallur,Uthukottai,Melmaligaipattu
29325.648950326195,6.553095701920401,2,6,0.0,Agricultural,Individual,Low,Medium,Sandy Loam,No,No,Partial,Issued,Paid,Poor,102.97396732316443,REC0109,Tiruvallur,Uthukottai,Melmaligaipattu
17815.620740737213,5.34701558417121,4,2,15.177241841549652,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,82.04090048149388,REC0110,Tiruvallur,Uthukottai,Melmaligaipattu
19081.236772166852,6.746389655243933,3,7,22.880431237900808,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,169.57648841715863,REC0111,Tiruvallur,Uthukottai,Melmaligaipattu
15418.50637575208,6.072918018061749,3,6,29.063006438768223,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,214.39751214384603,REC0112,Tiruvallur,Uthukottai,Melmaligaipattu
23115.686296729484,6.126738333793305,5,3,26.8620623178154,Agricultural,Individual,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,400.0,REC0113,Tiruvallur,Uthukottai,Melmaligaipattu
19793.05453518917,5.928877944701081,3,1,5.572013413075959,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,46.67002133685189,REC0114,Tiruvallur,Uthukottai,Melmaligaipattu
24814.626971822774,5.772879669380282,1,6,20.967005478463136,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,250.46129495781338,REC0115,Tiruvallur,Uthukottai,Melmaligaipattu
4452.474924324437,7.172493356503025,5,4,16.25589424510532,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,205.3139058889571,REC0116,Tiruvallur,Uthukottai,Melmaligaipattu
20372.52196613596,6.414100219761416,4,5,30.332738264176378,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,329.143327068838,REC0117,Tiruvallur,Uthukottai,Melmaligaipattu
29170.14499837739,6.58782418424627,5,2,11.054684975059471,Agricultural,Individual,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,37.5722108832795,REC0118,Tiruvallur,Uthukottai,Melmaligaipattu
23894.243705469136,6.106854807141217,3,0,5.0503807948887145,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,70.69239019724144,REC0119,Tiruvallur,Uthukottai,Melmaligaipattu
2051.0532755494573,7.957352212585826,3,3,20.49598365847444,Agricultural,Joint,High,Low,Sandy Loam,Yes,No,Complete,Issued,Negotiation,Good,400.0,REC0120,Tiruvallur,Uthukottai,Melmaligaipattu
18488.108142890207,6.157399035677744,4,1,2.3466419724639085,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,92.60672411955457,REC0121,Tiruvallur,Uthukottai,Melmaligaipattu
33422.53795661101,7.454347503886814,5,0,11.339438055597599,Agricultural,Individual,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,22.949300040568463,REC0122,Tiruvallur,Uthukottai,Melmaligaipattu
13363.314063944146,5.939285825640566,4,3,17.062594184158,Agricultural,Joint,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,94.27067722741346,REC0123,Tiruvallur,Uthukottai,Melmaligaipattu
24141.572580918146,7.794731152056766,5,6,31.28829530668059,Agricultural,Individual,Medium,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Poor,186.96790996883337,REC0124,Tiruvallur,Uthukottai,Melmaligaipattu
22615.515819263524,8.244620050657657,4,1,4.176278290897164,Agricultural,Joint,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,280.4828691485371,REC0125,Tiruvallur,Uthukottai,Melmaligaipattu
4087.9631003550758,6.885837552789054,5,4,13.179039481571685,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,134.06177459805903,REC0126,Tiruvallur,Uthukottai,Melmaligaipattu
13196.526487464196,5.8260565796174815,5,1,13.165360349457174,Agricultural,Joint,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,61.63403232963301,REC0127,Tiruvallur,Uthukottai,Melmaligaipattu
21866.323254786577,6.575517502569559,2,7,22.822962635280188,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,177.6325659268988,REC0128,Tiruvallur,Uthukottai,Melmaligaipattu
14821.027362959285,6.46234785205521,5,4,34.570386119348996,Agricultural,Joint,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,255.30240986169565,REC0129,Tiruvallur,Uthukottai,Melmaligaipattu
17653.764428144612,6.224466812814287,2,5,0.0,Agricultural,Joint,Low,Medium,Sandy Loam,No,No,Partial,Issued,Paid,Poor,113.58375556499705,REC0130,Tiruvallur,Uthukottai,Melmaligaipattu
3597.6333535788413,7.03966860364435,3,6,7.774696744046488,Agricultural,Joint,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,129.61627734047158,REC0131,Tiruvallur,Uthukottai,Melmaligaipattu
12877.136769246521,8.414752086432404,6,4,10.447125580392758,Agricultural,Individual,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,65.21197765399354,REC0132,Tiruvallur,Uthukottai,Melmaligaipattu
24143.136315434178,6.895905962461411,1,5,0.0,Agricultural,Individual,Low,Medium,Sandy Loam,No,No,Partial,Issued,Paid,Poor,93.89913822595742,REC0133,Tiruvallur,Uthukottai,Melmaligaipattu
19804.197999385604,5.835232722768761,4,1,14.428745176373308,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,115.66651956907911,REC0134,Tiruvallur,Uthukottai,Melmaligaipattu
21506.461509983485,8.43840565720479,6,2,9.516806550483368,Agricultural,Individual,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,295.2480338823466,REC0135,Tiruvallur,Uthukottai,Melmaligaipattu
11423.857169397728,8.184776094875788,4,4,9.299195404368847,Agricultural,Joint,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,72.25817047263675,REC0136,Tiruvallur,Uthukottai,Melmaligaipattu
15474.181682453804,6.764621645659237,6,4,34.390718632273135,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,187.67786117865128,REC0137,Tiruvallur,Uthukottai,Melmaligaipattu
17601.42509090574,6.442102484583342,1,5,13.763657223295722,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,185.05135260831585,REC0138,Tiruvallur,Uthukottai,Melmaligaipattu
20881.33262971683,5.642049378036312,5,2,15.654191131752647,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,106.07567373376224,REC0139,Kancheepuram,Kancheepuram,Podavoor
10519.10777009433,7.488484991024291,6,7,1.057256458353272,Agricultural,Individual,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,103.85592530895352,REC0140,Kancheepuram,Kancheepuram,Podavoor
14505.860353462693,8.135550520621639,5,5,0.0,Agricultural,Individual,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,73.95627606785729,REC0141,Kancheepuram,Kancheepuram,Podavoor
29463.560797522205,6.4327636872612155,3,2,33.176855714306384,Agricultural,Individual,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,315.2658087388205,REC0142,Kancheepuram,Kancheepuram,Podavoor
10590.51182527426,5.164916661085745,3,2,11.219040205754375,Agricultural,Joint,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,72.64703952067336,REC0143,Kancheepuram,Kancheepuram,Podavoor
15886.785773969481,8.618698602265711,6,2,16.276067084279372,Agricultural,Individual,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,78.16607633246308,REC0144,Kancheepuram,Kancheepuram,Podavoor
18729.308056263533,5.971958588861405,3,2,30.301929642122087,Agricultural,Joint,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,400.0,REC0145,Kancheepuram,Kancheepuram,Podavoor
12371.48210628468,7.776081130842957,5,7,37.471066642567045,Agricultural,Joint,Medium,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Poor,117.19804378197729,REC0146,Kancheepuram,Kancheepuram,Podavoor
25292.055226867524,6.539125804561335,6,4,32.244740611965355,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,194.26294354097203,REC0147,Kancheepuram,Sriperumbudur,Magadevimangalam
27209.542221352818,8.25336654436426,5,2,8.06646244315961,Agricultural,Individual,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,189.0984228087325,REC0148,Kancheepuram,Sriperumbudur,Magadevimangalam
21010.448001162476,8.40775105286557,5,3,12.774773360154246,Agricultural,Individual,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,274.545118078302,REC0149,Kancheepuram,Sriperumbudur,Magadevimangalam
14357.757436659298,5.813784010309549,4,3,19.49989825171042,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,73.92341390789456,REC0150,Kancheepuram,Sriperumbudur,Magadevimangalam
21324.283773732015,6.265169358443157,5,1,3.110529459611721,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,88.05600949980088,REC0151,Kancheepuram,Sriperumbudur,Magadevimangalam
24025.313051529647,7.9115801748823875,6,3,14.990037099353977,Agricultural,Individual,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,295.1400230741916,REC0152,Kancheepuram,Sriperumbudur,Magadevimangalam
20171.987925311118,5.555627662840377,3,3,8.189602436328563,Agricultural,Joint,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,62.84035410591339,REC0153,Kancheepuram,Sriperumbudur,Magadevimangalam
3277.5188160569423,7.808732983973001,3,2,16.411945722874396,Agricultural,Joint,High,Low,Sandy Loam,Yes,No,Complete,Issued,Negotiation,Good,377.8598492829075,REC0154,Kancheepuram,Sriperumbudur,Magadevimangalam
23981.70522891585,7.068431460541071,6,5,31.100967441050525,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,324.3453772756361,REC0155,Kancheepuram,Sriperumbudur,Magadevimangalam
16267.027882361295,7.502121398493087,4,5,10.186933377437601,Agricultural,Individual,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,59.252376710180926,REC0156,Kancheepuram,Sriperumbudur,Magadevimangalam
16969.314465810734,8.326107308010323,6,7,33.65528913023072,Agricultural,Individual,Medium,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Poor,134.61340346712973,REC0157,nan,nan,nan
21124.862385901546,6.455385672453437,5,2,15.84498935137929,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,124.8616533522498,REC0158,nan,nan,nan
16096.780702186366,6.609325676331346,5,5,33.06992610932646,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,212.19429148850693,REC0159,nan,nan,nan
20757.34232456423,7.218909920188375,4,7,28.089902900848497,Agricultural,Individual,Medium,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Poor,114.66256016249689,REC0160,nan,nan,nan
24700.448708549127,5.991948150628316,6,2,4.289124168145465,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,100.30753070117083,REC0161,nan,nan,nan
21750.187290147172,6.186023818898199,1,5,19.960535251882277,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,279.35627047931894,REC0162,nan,nan,nan
13529.548716507783,7.012422567880891,5,5,0.0,Agricultural,Individual,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,96.18721691984027,REC0163,nan,nan,nan
24643.652492120895,6.2676679518530545,4,3,5.444475495412209,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,125.90814848641811,REC0164,nan,nan,nan
15303.891954996943,6.973484213593934,4,4,20.49150077920173,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,321.18919446522193,REC0165,nan,nan,nan
16626.23551877732,5.532681333751436,4,1,14.192905614904586,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,50.9559817593187,REC0166,nan,nan,nan
23465.58306322676,5.941304612157337,3,7,17.321789650369404,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,206.49794232564653,REC0167,nan,nan,nan
4351.461016139951,7.055767253024549,3,4,5.88896277352641,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,130.5344512167898,REC0168,nan,nan,nan
9955.059327064693,7.6209758742984475,6,5,0.0,Agricultural,Individual,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,78.6956829792365,REC0169,nan,nan,nan
19038.537425356302,6.013349689923722,6,3,16.78753879010567,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,121.24976330742098,REC0170,nan,nan,nan
25068.89988677839,6.709028613625709,4,2,28.410467256857686,Agricultural,Individual,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,400.0,REC0171,nan,nan,nan
17080.25733462896,7.4285652342409785,4,6,10.410874401020248,Agricultural,Individual,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,84.48133417588839,REC0172,nan,nan,nan
19295.59077072628,6.6227139863870494,5,5,35.241620329865796,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,263.13210922998155,REC0173,nan,nan,nan
25648.12770918751,6.29288602457275,5,2,5.245677454072165,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Moderate,84.33916560392012,REC0174,nan,nan,nan
15050.481506111213,6.663482919838515,4,4,35.45383354496909,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,260.41625546548795,REC0175,nan,nan,nan
17256.50028903684,7.693290505328689,5,5,18.34702812073612,Agricultural,Individual,Medium,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Poor,179.83869290456997,REC0176,nan,nan,nan
24052.10849604108,6.435530580282295,5,4,24.187856099300348,Agricultural,Individual,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,258.4426608916287,REC0177,nan,nan,nan
12485.562357647976,7.954790960528197,5,3,14.99040073411827,Agricultural,Individual,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,87.03741104348957,REC0178,nan,nan,nan
25875.84749311132,6.29929680579276,4,4,32.821946319049545,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,344.74161234642406,REC0179,nan,nan,nan
17228.696839410866,6.3773423718007685,5,5,33.173059370926275,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,210.51134294114908,REC0180,nan,nan,nan
23768.7737170153,8.285044259906934,5,2,11.792061836893641,Agricultural,Individual,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,259.79146905272324,REC0181,nan,nan,nan
3138.4699250451276,7.374947372220937,2,2,19.316849030163436,Agricultural,Individual,High,Low,Sandy Loam,Yes,No,Complete,Issued,Negotiation,Good,298.8573012654813,REC0182,nan,nan,nan
27480.132722155893,6.412315935511879,3,3,22.978654509546253,Agricultural,Individual,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,400.0,REC0183,nan,nan,nan
30531.369785789717,7.081293719341645,5,1,0.5860492063767762,Agricultural,Individual,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,27.326133229165464,REC0184,nan,nan,nan
23842.964175958125,7.294442361451772,6,1,4.763600815131715,Agricultural,Individual,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,35.087955151400756,REC0185,nan,nan,nan
25748.301472069932,8.139229256373463,4,2,16.703586769870338,Agricultural,Individual,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,240.84104435468862,REC0186,nan,nan,nan
13393.762051669446,8.100897987359986,5,4,18.35039621101095,Agricultural,Individual,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,80.90498758243153,REC0187,nan,nan,nan
4111.37797741304,7.213652781037518,5,4,16.21152395593122,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,197.20455424596284,REC0188,nan,nan,nan
12820.48699528053,5.393686451796504,5,1,12.630747472268814,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,50.124332655363304,REC0189,nan,nan,nan
17263.99607114293,6.701962608357811,6,6,35.049142286643466,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,272.7158139781348,REC0190,nan,nan,nan
29342.269504501928,5.545936980653158,5,1,5.976835138878274,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,77.62963863959244,REC0191,nan,nan,nan
29270.41372292557,6.260832514475711,2,7,27.42580556272869,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,205.86807402210687,REC0192,nan,nan,nan
19841.383593050898,7.632668596203173,6,5,36.38700684346151,Agricultural,Individual,Medium,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Poor,134.8927400483582,REC0193,nan,nan,nan
22877.85093103632,6.409569903611452,2,6,21.188382709861738,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Complete,Issued,Not Started,Moderate,185.38853710063773,REC0194,nan,nan,nan
33572.18717859878,6.613312449779581,6,2,0.0,Agricultural,Individual,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,35.92281045125319,REC0195,nan,nan,nan
23707.7180319435,7.333539043517675,5,5,40.36007283245067,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,289.11314341974276,REC0196,nan,nan,nan
21949.134091828993,7.03341804545857,4,1,10.270250907287291,Agricultural,Individual,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,36.87864191160266,REC0197,nan,nan,nan
25025.595699469006,6.4066898639360925,5,4,27.640187238548904,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,313.4827293746481,REC0198,nan,nan,nan
15311.095157595919,6.540934290388827,6,5,31.85353673223846,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,345.5780785959018,REC0199,nan,nan,nan
2254.8314694826813,7.868035813832741,2,2,31.046054306147514,Agricultural,Individual,High,Low,Sandy Loam,Yes,No,Complete,Issued,Negotiation,Good,400.0,REC0200,nan,nan,nan
9948.620596872903,8.054625705976086,6,3,15.309582418399796,Agricultural,Individual,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,91.08729824208241,REC0201,nan,nan,nan
28385.00003603141,7.680567102060344,6,3,20.266224416406136,Agricultural,Individual,Low,High,Alluvial,Yes,Yes,Incomplete,Issued,Under Review,Good,253.78986499087273,REC0202,nan,nan,nan
3710.4942269860794,7.338479675874688,4,6,5.719725316795163,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,219.64138159533263,REC0203,nan,nan,nan
26462.671513812722,7.3737556508944895,6,2,7.86831755672045,Agricultural,Individual,High,High,Sandy Loam,No,No,Complete,Issued,Approved,Good,27.620870809899777,REC0204,nan,nan,nan
23331.86196539294,6.479504114122465,4,3,24.513311627264784,Agricultural,Individual,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,400.0,REC0205,nan,nan,nan
27527.23770709678,5.9616201634624835,5,0,10.201100813470987,Agricultural,Individual,Low,Medium,Clay Loam,No,No,Incomplete,Not Issued,Paid,Poor,99.98844469862027,REC0206,nan,nan,nan
24420.533690615735,6.227868840878897,5,2,30.394943581700048,Agricultural,Individual,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,268.2106274832276,REC0207,nan,nan,nan
18889.903244061945,6.405610341540877,3,2,32.25158639021907,Agricultural,Individual,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,247.9101812607958,REC0208,nan,nan,nan
4387.5800841069085,7.044747276045433,4,5,17.85670621133842,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,135.33528604579612,REC0209,nan,nan,nan
10666.864911200399,7.470764712716957,4,4,13.684632877718236,Agricultural,Individual,Medium,Low,Red Soil,No,No,Complete,Issued,Under Review,Good,88.17247464065272,REC0210,nan,nan,nan
22835.750441461452,6.686533274795476,3,3,30.186139182107883,Agricultural,Individual,Low,Low,Black Soil,No,No,Partial,Issued,Under Review,Poor,354.8875355726089,REC0211,nan,nan,nan
21566.952530096918,8.315638500914957,4,6,22.992271277806605,Agricultural,Individual,Medium,Medium,Clay Loam,No,No,Complete,Issued,Under Review,Poor,124.57916833401237,REC0212,nan,nan,nan
15049.903636230785,6.7419261594082425,6,5,38.09521846620881,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,317.5679765999812,REC0213,nan,nan,nan
18810.613339039894,6.888797271746052,6,4,30.192584866085582,Agricultural,Individual,Medium,High,Black Soil,No,No,Complete,Issued,Negotiation,Moderate,257.8172293493196,REC0214,nan,nan,nan
4635.958173741313,7.541886071656872,4,6,1.9115791492021517,Agricultural,Individual,Medium,High,Black Soil,No,No,Incomplete,Issued,Under Review,Moderate,140.6889092105859,REC0215,nan,nan,nan
14982.169169397217,7.523617549070191,4,7,0.0,Agricultural,Individual,Medium,Medium,Sandy Loam,No,No,Complete,Issued,Under Review,Moderate,85.53525667082206,REC0216,nan,nan,nan
17590.605864770176,5.576475174694606,5,2,8.253980014058529,Agricultural,Individual,Low,High,Red Soil,No,No,Complete,Issued,Negotiation,Good,63.46977570389538,REC0217,nan,nan,nan
